disease_class,temperature_celsius,soil_moisture_percent,soil_ph,soil_nitrogen_ppm
Potato___Early_blight,23.91,99.08,5.48,74.37
Potato___Early_blight,22.37,84.45,5.59,70.84
Potato___Early_blight,22.35,100.0,5.75,82.66
Potato___Early_blight,30.22,94.29,5.39,70.89
Potato___Early_blight,25.06,89.07,5.85,71.2
Potato___Early_blight,28.92,91.35,5.5,71.02
Potato___Early_blight,22.4,83.37,5.42,71.69
Potato___Early_blight,27.77,86.5,5.95,85.42
Potato___Early_blight,26.7,90.73,5.63,71.46
Potato___Early_blight,29.54,91.37,5.84,67.17
Potato___Early_blight,28.09,89.47,5.18,76.97
Potato___Early_blight,29.81,86.89,5.55,79.76
Potato___Early_blight,23.31,85.84,5.67,66.34
Potato___Early_blight,29.17,83.1,5.63,69.58
Potato___Early_blight,24.13,86.1,5.06,81.62
Potato___Early_blight,24.79,87.22,5.31,81.88
Potato___Early_blight,24.52,89.53,5.52,83.55
Potato___Early_blight,27.77,85.01,5.12,76.64
Potato___Early_blight,26.77,80.56,5.26,88.31
Potato___Early_blight,28.78,85.59,5.79,87.08
Potato___Early_blight,25.1,84.08,5.34,70.82
Potato___Early_blight,26.71,90.52,5.69,72.1
Potato___Early_blight,26.16,80.81,5.86,62.73
Potato___Early_blight,25.97,87.67,5.5,82.1
Potato___Early_blight,29.23,89.16,6.06,74.17
Potato___Early_blight,27.56,93.8,5.93,89.59
Potato___Early_blight,28.58,87.11,5.43,78.73
Potato___Early_blight,27.5,93.14,5.68,80.42
Potato___Early_blight,24.33,83.38,5.54,84.94
Potato___Early_blight,27.13,88.91,5.47,93.22
Potato___Early_blight,24.56,85.97,5.41,98.58
Potato___Early_blight,23.91,86.09,5.86,69.75
Potato___Early_blight,27.5,84.38,5.45,74.86
Potato___Early_blight,24.84,88.56,5.45,78.86
Potato___Early_blight,23.78,89.25,5.31,94.52
Potato___Early_blight,26.33,89.79,5.26,67.25
Potato___Early_blight,29.91,86.68,5.48,71.03
Potato___Early_blight,23.15,88.78,5.68,84.35
Potato___Early_blight,28.2,93.27,5.35,83.5
Potato___Early_blight,23.34,90.0,5.55,76.1
Potato___Early_blight,28.94,82.58,5.72,48.63
Potato___Early_blight,25.76,84.07,5.07,80.12
Potato___Early_blight,26.19,84.42,5.84,66.33
Potato___Early_blight,25.41,82.05,5.42,79.23
Potato___Early_blight,28.0,96.62,5.13,72.0
Potato___Early_blight,26.34,83.27,5.9,74.7
Potato___Early_blight,27.8,88.02,5.77,85.35
Potato___Early_blight,25.85,88.9,5.31,88.1
Potato___Early_blight,25.01,83.4,5.67,86.94
Potato___Early_blight,25.96,93.71,5.57,49.27
Potato___Early_blight,28.15,87.69,4.99,68.73
Potato___Early_blight,28.34,86.1,5.34,80.33
Potato___Early_blight,27.27,89.23,5.67,86.91
Potato___Early_blight,27.69,83.62,5.85,90.14
Potato___Early_blight,28.66,85.02,5.68,72.41
Potato___Early_blight,26.71,86.38,5.83,70.35
Potato___Early_blight,23.54,86.1,5.33,87.79
Potato___Early_blight,25.63,88.12,6.06,77.89
Potato___Early_blight,27.35,81.97,6.35,77.05
Potato___Early_blight,23.83,83.52,5.22,86.9
Potato___Early_blight,25.58,92.21,6.13,89.56
Potato___Early_blight,25.57,82.34,5.55,76.21
Potato___Early_blight,26.34,82.19,5.9,77.62
Potato___Early_blight,26.94,83.48,5.24,86.42
Potato___Early_blight,26.64,84.2,5.49,78.4
Potato___Early_blight,24.13,83.84,5.52,85.78
Potato___Early_blight,27.34,91.67,5.83,81.27
Potato___Early_blight,24.9,87.69,5.65,70.52
Potato___Early_blight,28.6,86.87,5.32,77.36
Potato___Early_blight,28.97,86.8,5.96,56.9
Potato___Early_blight,24.3,84.91,5.44,73.78
Potato___Early_blight,24.18,92.57,5.39,73.54
Potato___Early_blight,25.93,84.89,5.26,85.23
Potato___Early_blight,26.88,91.45,5.62,90.59
Potato___Early_blight,28.88,84.35,5.58,87.89
Potato___Early_blight,26.17,89.51,5.29,70.18
Potato___Early_blight,25.57,90.54,5.73,104.6
Potato___Early_blight,27.38,92.78,5.77,84.1
Potato___Early_blight,26.66,90.6,5.35,72.71
Potato___Early_blight,25.24,90.33,6.0,75.86
Potato___Early_blight,25.78,88.96,5.32,82.86
Potato___Early_blight,24.42,83.14,6.18,66.98
Potato___Early_blight,23.29,89.25,5.27,100.99
Potato___Early_blight,28.55,91.27,5.34,90.48
Potato___Early_blight,29.26,86.95,5.58,98.86
Potato___Early_blight,27.33,92.99,5.2,73.64
Potato___Early_blight,29.71,85.52,5.15,69.36
Potato___Early_blight,24.66,93.66,5.49,78.13
Potato___Early_blight,25.73,88.93,5.71,88.61
Potato___Early_blight,25.83,95.09,5.56,80.45
Potato___Early_blight,26.35,89.96,5.34,74.96
Potato___Early_blight,23.6,89.36,5.37,78.52
Potato___Early_blight,27.27,87.29,5.62,72.5
Potato___Early_blight,27.56,96.01,5.89,55.89
Potato___Early_blight,26.54,87.11,5.29,86.99
Potato___Early_blight,25.88,91.62,5.07,93.65
Potato___Early_blight,29.39,82.89,6.05,84.08
Potato___Early_blight,24.31,87.14,5.75,80.3
Potato___Early_blight,26.94,90.0,5.12,66.81
Potato___Early_blight,25.11,85.71,5.47,95.73
Potato___Early_blight,27.96,89.59,5.35,86.22
Potato___Early_blight,26.4,89.84,4.63,88.34
Potato___Early_blight,27.93,85.58,6.05,86.28
Potato___Early_blight,24.92,84.82,5.76,76.33
Potato___Early_blight,24.8,91.14,5.88,76.13
Potato___Early_blight,25.42,90.1,6.12,81.79
Potato___Early_blight,25.76,90.63,5.3,57.76
Potato___Early_blight,23.75,87.16,5.71,107.0
Potato___Early_blight,26.75,85.04,5.61,80.95
Potato___Early_blight,27.76,85.27,5.27,89.57
Potato___Early_blight,26.24,95.11,5.44,98.37
Potato___Early_blight,28.12,90.31,5.43,72.88
Potato___Early_blight,23.58,86.99,5.97,75.97
Potato___Early_blight,28.13,93.24,5.66,84.47
Potato___Early_blight,22.97,91.91,6.0,65.73
Potato___Early_blight,25.67,89.8,5.52,78.94
Potato___Early_blight,27.09,92.23,5.54,78.76
Potato___Early_blight,28.79,88.03,5.92,84.59
Potato___Early_blight,25.84,88.71,5.61,83.68
Potato___Early_blight,25.4,89.0,5.03,64.83
Potato___Early_blight,26.07,88.34,5.09,90.71
Potato___Early_blight,25.0,88.58,5.18,88.81
Potato___Early_blight,25.49,89.28,5.49,80.68
Potato___Early_blight,27.74,90.07,5.29,79.41
Potato___Early_blight,25.16,89.32,5.69,82.83
Potato___Early_blight,27.86,89.26,5.51,84.64
Potato___Early_blight,26.58,87.9,5.7,81.32
Potato___Early_blight,23.34,89.1,6.01,78.21
Potato___Early_blight,26.01,85.84,5.21,73.36
Potato___Early_blight,21.9,85.24,5.99,74.55
Potato___Early_blight,27.65,90.0,5.7,76.76
Potato___Early_blight,23.19,87.63,5.41,95.12
Potato___Early_blight,24.84,85.6,5.78,79.51
Potato___Early_blight,25.26,89.36,5.22,93.94
Potato___Late_blight,14.87,96.81,5.05,98.64
Potato___Late_blight,13.63,94.39,5.69,64.11
Potato___Late_blight,12.37,94.53,5.25,94.61
Potato___Late_blight,15.94,92.32,5.47,80.05
Potato___Late_blight,18.86,92.9,5.19,86.31
Potato___Late_blight,17.18,96.6,5.4,74.61
Potato___Late_blight,19.49,97.62,5.37,99.08
Potato___Late_blight,15.69,92.17,5.2,56.86
Potato___Late_blight,17.43,88.6,5.84,97.02
Potato___Late_blight,17.06,94.23,5.7,116.59
Potato___Late_blight,15.02,93.03,5.41,82.33
Potato___Late_blight,15.19,87.88,5.25,119.1
Potato___Late_blight,13.65,90.61,5.52,132.11
Potato___Late_blight,16.53,96.06,5.5,69.45
Potato___Late_blight,13.86,92.27,5.71,80.17
Potato___Late_blight,15.39,91.9,5.56,75.16
Potato___Late_blight,17.71,88.0,5.93,81.49
Potato___Late_blight,19.49,95.29,5.26,93.72
Potato___Late_blight,18.48,91.32,5.58,77.18
Potato___Late_blight,17.1,91.99,5.48,87.8
Potato___Late_blight,16.37,88.29,4.9,95.68
Potato___Late_blight,17.1,94.36,5.4,84.31
Potato___Late_blight,17.05,95.82,5.61,98.43
Potato___Late_blight,21.99,89.38,5.48,84.03
Potato___Late_blight,15.58,95.78,5.4,94.12
Potato___Late_blight,19.27,99.82,5.48,103.84
Potato___Late_blight,18.63,92.81,5.39,73.5
Potato___Late_blight,23.57,93.67,5.51,92.75
Potato___Late_blight,17.65,91.57,5.63,101.88
Potato___Late_blight,15.05,87.73,5.21,77.49
Potato___Late_blight,15.34,95.65,5.41,94.53
Potato___Late_blight,20.3,95.52,5.37,81.75
Potato___Late_blight,17.45,96.11,5.75,83.16
Potato___Late_blight,17.17,96.09,5.37,114.02
Potato___Late_blight,17.66,88.45,5.44,98.02
Potato___Late_blight,15.89,89.79,5.52,59.52
Potato___Late_blight,13.46,86.94,5.51,86.38
Potato___Late_blight,14.58,97.69,5.79,91.94
Potato___Late_blight,17.41,88.84,5.43,100.86
Potato___Late_blight,16.99,92.53,5.62,118.01
Potato___Late_blight,18.53,95.33,5.06,93.38
Potato___Late_blight,16.74,92.14,5.27,78.22
Potato___Late_blight,16.73,94.63,5.28,98.36
Potato___Late_blight,15.96,91.11,5.35,104.64
Potato___Late_blight,15.42,88.97,5.56,109.11
Potato___Late_blight,15.45,91.15,5.21,73.71
Potato___Late_blight,21.54,97.01,5.14,80.01
Potato___Late_blight,15.58,94.87,5.31,70.11
Potato___Late_blight,18.23,93.39,5.43,111.69
Potato___Late_blight,16.46,91.91,5.19,84.7
Potato___Late_blight,19.49,91.61,5.42,95.56
Potato___Late_blight,14.83,97.67,5.19,92.55
Potato___Late_blight,18.38,94.74,5.21,99.57
Potato___Late_blight,12.67,92.62,5.56,99.13
Potato___Late_blight,18.17,94.25,5.12,70.44
Potato___Late_blight,14.32,96.42,5.66,88.24
Potato___Late_blight,15.48,97.78,5.52,85.71
Potato___Late_blight,16.11,96.37,5.1,86.36
Potato___Late_blight,20.2,100.0,5.65,93.54
Potato___Late_blight,15.54,93.4,5.27,73.76
Potato___Late_blight,13.83,92.96,5.65,72.39
Potato___Late_blight,16.1,100.0,5.4,96.46
Potato___Late_blight,16.59,93.02,5.43,114.88
Potato___Late_blight,15.39,94.96,5.31,96.03
Potato___Late_blight,17.88,94.24,5.71,90.53
Potato___Late_blight,15.98,95.38,5.51,54.48
Potato___Late_blight,17.28,87.6,5.55,91.98
Potato___Late_blight,15.73,94.24,5.57,97.38
Potato___Late_blight,16.64,96.95,5.55,78.62
Potato___Late_blight,20.55,97.25,5.29,104.43
Potato___Late_blight,17.64,93.5,5.31,105.49
Potato___Late_blight,15.91,96.65,5.29,88.79
Potato___Late_blight,20.12,87.49,5.36,89.46
Potato___Late_blight,15.2,93.06,5.48,100.08
Potato___Late_blight,21.62,93.81,5.45,98.88
Potato___Late_blight,18.32,94.4,5.55,87.1
Potato___Late_blight,13.08,84.48,5.3,100.11
Potato___Late_blight,20.41,94.03,5.31,90.71
Potato___Late_blight,12.21,91.52,5.51,67.78
Potato___Late_blight,14.15,88.23,5.37,82.07
Potato___Late_blight,18.48,88.52,5.41,101.25
Potato___Late_blight,18.78,93.71,5.64,105.74
Potato___Late_blight,14.83,100.0,5.32,85.53
Potato___Late_blight,18.85,97.05,5.36,105.02
Potato___Late_blight,14.4,96.27,5.76,99.87
Potato___Late_blight,18.95,94.98,5.17,115.68
Potato___Late_blight,16.21,90.71,5.09,69.41
Potato___Late_blight,16.56,94.1,5.23,63.27
Potato___Late_blight,15.75,88.85,5.16,104.02
Potato___Late_blight,18.45,92.91,5.61,97.44
Potato___Late_blight,14.96,96.21,5.55,103.45
Potato___Late_blight,16.95,93.43,5.17,99.76
Potato___Late_blight,20.22,94.43,5.45,105.58
Potato___Late_blight,17.68,92.17,5.5,99.45
Potato___Late_blight,19.9,90.59,5.29,95.95
Potato___Late_blight,15.38,94.21,5.19,71.79
Potato___Late_blight,18.53,93.57,5.4,69.37
Potato___Late_blight,14.85,88.42,5.38,86.3
Potato___Late_blight,14.9,90.74,5.19,89.12
Potato___Late_blight,21.02,89.66,5.21,107.83
Potato___Late_blight,16.57,95.01,5.3,76.05
Potato___Late_blight,15.82,89.41,5.7,101.74
Potato___Late_blight,19.35,92.93,5.12,97.76
Potato___Late_blight,20.9,92.64,5.41,76.41
Potato___Late_blight,16.04,92.41,5.26,93.84
Potato___Late_blight,18.54,94.25,5.4,82.83
Potato___Late_blight,15.09,94.47,5.0,97.52
Potato___Late_blight,16.97,93.37,5.34,48.97
Potato___Late_blight,20.81,90.86,5.18,100.86
Potato___Late_blight,16.61,92.85,5.6,114.09
Potato___Late_blight,14.37,92.05,5.41,109.84
Potato___Late_blight,14.0,92.87,5.39,64.5
Potato___Late_blight,18.52,93.01,5.46,61.62
Potato___Late_blight,16.34,91.91,5.34,79.6
Potato___Late_blight,20.31,90.25,5.28,91.96
Potato___Late_blight,15.75,91.62,5.16,92.56
Potato___Late_blight,16.97,95.01,5.36,79.41
Potato___Late_blight,18.84,98.23,5.3,83.88
Potato___Late_blight,19.9,94.65,5.44,95.61
Potato___Late_blight,16.32,98.41,5.29,85.49
Potato___Late_blight,19.16,94.08,5.33,95.23
Potato___Late_blight,15.76,94.86,5.49,81.67
Potato___Late_blight,15.17,90.64,5.07,84.34
Potato___Late_blight,16.75,95.43,5.39,84.97
Potato___Late_blight,18.52,92.79,5.48,105.23
Potato___Late_blight,17.42,90.19,5.48,87.2
Potato___Late_blight,18.78,88.58,5.37,83.08
Potato___Late_blight,17.41,90.91,5.88,58.48
Potato___Late_blight,12.49,92.09,5.52,86.48
Potato___Late_blight,19.0,96.23,5.23,86.29
Potato___Late_blight,22.08,93.93,5.43,49.58
Potato___Late_blight,16.6,92.47,5.22,78.79
Potato___Late_blight,18.66,95.72,5.41,89.73
Potato___Late_blight,14.26,93.94,5.19,65.93
Potato___Late_blight,16.49,94.22,5.43,83.18
Potato___Late_blight,17.56,96.36,5.44,71.52
Potato___Late_blight,20.5,88.05,5.75,75.96
Potato___Late_blight,15.25,90.48,5.18,88.06
Potato___Late_blight,15.81,91.53,5.11,93.4
Potato___Late_blight,16.46,95.49,5.32,75.35
Potato___Late_blight,20.75,94.74,5.39,78.17
Potato___Late_blight,13.69,95.22,5.26,96.62
Potato___Late_blight,15.34,92.99,5.47,69.4
Potato___Late_blight,17.95,95.11,5.15,75.93
Potato___Late_blight,15.28,93.02,5.35,106.88
Potato___Late_blight,18.64,91.72,5.43,101.81
Potato___Late_blight,16.38,94.75,5.81,79.9
Potato___Late_blight,17.82,89.38,5.36,119.43
Potato___Late_blight,16.98,92.3,4.91,89.19
Potato___Late_blight,16.06,88.01,5.53,99.69
Potato___Late_blight,17.93,91.51,5.41,104.91
Potato___Late_blight,20.0,93.3,5.66,85.87
Potato___Late_blight,18.89,97.42,5.14,59.82
Potato___Late_blight,15.64,93.01,5.37,102.59
Potato___Late_blight,20.1,91.53,5.47,76.17
Potato___Late_blight,16.78,91.96,5.46,102.24
Potato___Late_blight,17.88,96.82,5.65,111.17
Potato___Late_blight,17.27,90.7,5.64,106.85
Potato___Late_blight,14.81,90.23,4.95,104.66
Potato___Late_blight,15.41,93.64,5.1,72.58
Potato___Late_blight,18.19,88.71,5.5,105.66
Potato___Late_blight,18.94,91.92,4.93,79.08
Potato___Late_blight,11.69,93.97,5.09,100.59
Potato___Late_blight,19.04,98.29,4.93,102.18
Potato___Late_blight,15.63,95.87,5.27,80.06
Potato___Late_blight,17.4,90.56,5.29,105.59
Potato___Late_blight,18.86,92.32,5.44,61.09
Potato___Late_blight,17.16,97.02,5.39,94.43
Potato___Late_blight,14.28,94.08,5.46,108.76
Potato___Late_blight,15.39,88.97,5.2,109.61
Potato___Late_blight,16.91,93.27,5.23,85.39
Potato___Late_blight,23.72,90.59,5.68,102.48
Potato___Late_blight,15.0,92.54,5.58,83.56
Potato___Late_blight,21.43,91.44,5.46,105.69
Potato___Late_blight,17.82,89.3,5.44,90.25
Potato___Late_blight,21.15,86.21,5.24,100.86
Potato___Late_blight,17.77,87.17,5.59,79.55
Potato___Late_blight,19.92,93.47,5.45,89.96
Potato___Late_blight,17.52,92.21,5.47,93.12
Potato___Late_blight,11.87,89.87,5.6,98.63
Potato___Late_blight,15.24,93.98,5.31,107.64
Potato___Late_blight,15.04,87.92,5.33,67.66
Potato___Late_blight,14.21,91.75,5.79,104.54
Potato___Late_blight,19.13,93.06,5.3,124.62
Potato___Late_blight,18.39,97.3,4.93,87.3
Potato___Late_blight,16.48,92.63,5.39,98.85
Potato___Late_blight,18.55,93.07,5.45,93.82
Potato___Late_blight,16.95,92.47,5.44,107.61
Potato___Late_blight,17.47,91.82,5.38,84.42
Potato___Late_blight,16.37,91.31,5.56,69.65
Potato___Late_blight,16.92,90.05,5.24,111.09
Potato___Late_blight,17.06,94.63,5.14,76.58
Potato___Late_blight,17.74,92.54,5.19,103.86
Potato___Late_blight,17.56,88.89,5.74,69.93
Potato___Late_blight,16.37,92.2,5.23,104.1
Potato___Late_blight,17.05,91.74,5.31,90.96
Potato___Late_blight,16.85,96.49,4.94,93.3
Potato___Late_blight,17.05,97.44,5.58,68.31
Potato___Late_blight,16.91,93.85,5.47,86.56
Potato___Late_blight,18.65,90.62,5.35,100.25
Potato___healthy,19.17,65.07,5.84,153.43
Potato___healthy,21.77,71.29,5.71,148.53
Potato___healthy,20.41,66.64,5.95,133.07
Potato___healthy,18.07,67.29,5.74,142.59
Potato___healthy,20.63,70.54,6.04,150.32
Potato___healthy,21.53,62.41,5.75,166.22
Potato___healthy,20.12,66.05,5.73,165.94
Potato___healthy,17.62,57.52,5.78,156.82
Potato___healthy,23.27,72.78,5.62,156.33
Potato___healthy,16.46,68.14,5.93,164.66
Potato___healthy,18.97,65.44,5.73,142.04
Potato___healthy,22.75,73.34,5.85,141.51
Potato___healthy,22.03,64.0,5.89,152.79
Potato___healthy,21.9,74.65,6.01,145.65
Potato___healthy,17.09,69.97,5.79,145.32
Potato___healthy,22.07,58.51,5.79,150.8
Potato___healthy,19.73,68.33,6.12,139.53
Potato___healthy,19.72,67.6,5.74,135.96
Potato___healthy,19.46,67.44,5.63,167.34
Potato___healthy,19.1,70.08,5.82,147.01
Potato___healthy,20.48,67.63,5.88,155.32
Potato___healthy,20.09,60.54,5.24,170.63
Potato___healthy,20.41,66.76,5.88,154.07
Potato___healthy,21.06,58.54,5.69,159.02
Potato___healthy,18.27,60.87,5.55,139.74
Potato___healthy,19.92,66.28,5.84,159.23
Potato___healthy,21.68,59.95,5.9,149.37
Potato___healthy,18.39,60.83,5.68,151.94
Potato___healthy,18.81,62.13,6.34,139.59
Potato___healthy,19.39,65.37,5.72,156.71
Potato___healthy,19.64,69.11,5.48,148.94
Potato___healthy,21.76,64.23,5.95,158.49
Potato___healthy,17.48,68.35,5.39,163.92
Potato___healthy,18.05,72.38,5.78,138.98
Potato___healthy,18.79,65.61,5.94,142.6
Potato___healthy,20.75,57.73,6.08,152.79
Potato___healthy,17.77,65.49,5.79,142.35
Potato___healthy,18.97,70.01,5.82,145.19
Potato___healthy,19.17,61.79,6.28,150.16
Potato___healthy,22.94,62.59,5.49,140.37
Potato___healthy,21.93,65.44,5.79,147.44
Potato___healthy,16.79,59.69,6.01,159.27
Potato___healthy,19.53,58.77,5.47,137.98
Potato___healthy,18.49,63.84,5.94,157.41
Potato___healthy,22.32,69.14,5.63,139.19
Potato___healthy,18.8,66.67,5.69,163.64
Potato___healthy,17.54,60.98,5.78,144.53
Potato___healthy,18.52,62.8,5.49,160.01
Potato___healthy,19.49,68.13,5.51,140.09
Potato___healthy,20.13,60.47,6.09,141.92
Potato___healthy,20.95,66.02,5.53,176.53
Potato___healthy,21.2,65.0,5.89,138.96
Potato___healthy,21.21,71.6,5.68,151.59
Potato___healthy,17.89,70.39,5.34,155.67
Potato___healthy,20.24,72.36,5.74,155.07
Potato___healthy,19.85,56.86,5.68,144.9
Potato___healthy,18.91,74.42,5.56,153.02
Potato___healthy,18.64,59.86,6.24,136.49
Potato___healthy,17.96,68.37,5.89,153.85
Potato___healthy,20.23,63.62,5.84,141.43
Potato___healthy,22.34,60.75,6.22,159.22
Potato___healthy,18.9,60.12,5.91,158.67
Potato___healthy,21.08,58.05,5.75,132.26
Potato___healthy,21.17,65.4,5.75,155.49
Potato___healthy,20.94,62.88,5.75,161.95
Potato___healthy,17.73,58.94,5.81,166.15
Potato___healthy,17.68,79.81,5.84,140.81
Potato___healthy,22.64,62.82,5.3,152.6
Potato___healthy,22.28,66.96,5.79,160.28
Potato___healthy,20.48,60.25,5.98,131.3
Potato___healthy,20.86,59.31,5.93,152.96
Potato___healthy,22.08,59.45,5.47,139.92
Potato___healthy,21.44,58.88,6.11,144.75
Potato___healthy,23.35,59.39,5.62,155.84
Potato___healthy,22.36,59.54,6.16,163.76
Potato___healthy,23.48,61.56,5.68,153.9
Potato___healthy,19.35,63.5,5.97,154.78
Potato___healthy,19.62,68.69,5.77,150.82
Potato___healthy,17.75,56.49,6.19,158.31
Potato___healthy,18.84,66.34,6.01,137.92
Potato___healthy,20.33,63.34,5.54,143.78
Potato___healthy,20.74,73.19,6.18,156.8
Potato___healthy,23.46,65.31,6.03,151.23
Potato___healthy,18.81,67.23,5.83,149.76
Potato___healthy,19.99,56.41,5.6,150.36
Potato___healthy,18.11,67.29,5.76,148.88
Potato___healthy,19.17,59.14,5.7,138.6
Potato___healthy,18.98,68.52,5.69,170.67
Potato___healthy,20.46,70.35,5.51,149.68
Potato___healthy,19.72,60.77,5.76,152.81
Potato___healthy,20.17,65.83,5.85,139.96
Potato___healthy,21.99,65.51,5.62,169.36
Potato___healthy,16.87,67.27,5.65,141.79
Potato___healthy,19.02,74.09,6.15,155.26
Potato___healthy,20.18,63.35,5.91,159.86
Potato___healthy,17.28,62.75,5.6,146.33
Potato___healthy,19.35,51.55,6.27,167.75
Potato___healthy,19.1,62.15,5.8,148.56
Potato___healthy,18.33,58.63,5.82,165.81
Potato___healthy,20.09,55.94,6.09,139.57
Potato___healthy,17.35,63.89,5.58,164.12
Potato___healthy,22.99,62.72,6.27,129.52
Potato___healthy,21.11,63.27,5.99,149.65
Potato___healthy,19.89,65.93,5.94,149.42
Potato___healthy,20.73,60.87,5.79,143.63
Potato___healthy,20.81,63.65,5.64,165.68
Potato___healthy,20.39,68.28,5.67,144.78
Potato___healthy,20.09,72.08,5.94,153.6
Potato___healthy,20.09,71.71,5.73,157.62
Potato___healthy,18.3,68.26,5.94,152.37
Potato___healthy,20.88,68.3,5.76,148.86
Potato___healthy,19.06,69.98,5.96,159.85
Potato___healthy,18.71,71.44,5.94,156.43
Potato___healthy,17.58,57.07,6.17,139.98
Potato___healthy,19.5,69.48,6.26,151.42
Potato___healthy,18.64,61.92,6.16,131.96
Potato___healthy,22.62,68.05,5.87,136.72
Potato___healthy,21.97,66.9,5.73,166.39
Potato___healthy,19.29,63.49,5.68,158.12
Potato___healthy,20.75,56.95,6.08,163.29
Potato___healthy,19.28,63.96,6.05,168.8
Potato___healthy,19.39,63.98,5.86,136.39
Potato___healthy,18.44,59.19,5.92,152.69
Potato___healthy,20.23,69.96,5.5,146.79
Potato___healthy,20.12,62.76,5.94,153.94
Potato___healthy,20.76,62.46,5.9,139.84
Potato___healthy,21.27,55.46,5.76,148.86
Potato___healthy,19.49,66.28,5.87,163.12
Potato___healthy,21.63,70.6,5.63,161.22
Potato___healthy,20.59,61.61,5.66,160.97
Potato___healthy,20.84,66.49,5.97,147.07
Potato___healthy,20.25,71.58,5.44,154.27
Potato___healthy,19.93,64.64,5.92,152.4
Potato___healthy,19.48,69.39,5.56,146.55
Potato___healthy,20.83,59.41,6.08,143.31
Potato___healthy,22.01,62.78,5.84,140.21
Potato___healthy,18.29,64.81,5.91,151.92
Potato___healthy,18.83,62.28,5.81,139.84
Potato___healthy,19.82,64.06,5.7,151.23
Potato___healthy,16.04,64.14,5.99,143.35
Potato___healthy,18.63,60.46,5.63,144.43
Potato___healthy,19.51,72.11,5.66,135.55
Potato___healthy,18.37,66.75,5.58,155.81
Potato___healthy,20.0,61.9,5.82,136.54
Potato___healthy,19.63,63.74,5.81,157.23
Potato___healthy,18.99,64.65,5.39,134.05
Potato___healthy,20.25,71.62,5.71,135.84
Potato___healthy,22.29,62.37,5.51,149.93
Potato___healthy,22.74,62.85,5.85,167.28
Potato___healthy,18.29,56.98,5.81,145.76
Potato___healthy,17.01,63.84,5.84,153.9
Potato___healthy,20.71,60.48,5.87,142.24
Potato___healthy,18.45,54.54,6.1,165.08
Potato___healthy,18.76,68.88,5.69,143.09
Potato___healthy,21.55,62.52,6.01,155.52
Potato___healthy,19.27,64.96,5.46,137.45
Potato___healthy,21.0,60.89,5.91,140.63
Potato___healthy,19.92,71.63,5.39,129.98
Potato___healthy,21.9,62.28,5.82,144.13
Potato___healthy,21.15,65.73,5.73,148.19
Potato___healthy,15.24,60.0,5.74,151.69
Potato___healthy,21.29,68.91,6.04,158.51
Potato___healthy,19.18,71.14,5.69,147.13
Potato___healthy,17.82,71.12,5.95,163.0
Potato___healthy,17.24,64.89,6.1,150.88
Potato___healthy,19.87,67.14,5.91,144.42
Potato___healthy,18.36,54.75,5.76,151.36
Potato___healthy,22.32,63.96,5.69,135.67
Potato___healthy,19.88,68.5,5.71,126.82
Potato___healthy,19.42,69.62,6.29,133.68
Potato___healthy,20.33,63.02,5.5,141.06
Potato___healthy,20.6,66.39,5.72,153.35
Potato___healthy,20.53,58.4,5.46,134.17
Potato___healthy,20.18,72.4,5.91,141.46
Potato___healthy,19.7,71.61,5.87,170.64
Potato___healthy,22.16,64.75,6.06,165.11
Potato___healthy,21.16,54.85,5.45,153.66
Potato___healthy,21.02,73.55,5.81,159.28
Potato___healthy,22.46,63.88,6.01,141.95
Potato___healthy,20.84,66.87,6.06,157.01
Potato___healthy,17.91,59.45,5.65,155.78
Potato___healthy,18.52,63.57,5.91,167.19
Potato___healthy,19.67,67.9,5.9,153.15
Potato___healthy,18.83,76.24,5.86,148.88
Potato___healthy,18.11,65.56,5.71,144.61
Potato___healthy,20.64,71.81,5.8,163.99
Potato___healthy,19.87,55.76,5.99,154.34
Potato___healthy,17.72,73.54,5.81,161.63
Potato___healthy,17.53,72.31,5.79,152.45
Potato___healthy,18.59,67.78,5.81,143.95
Potato___healthy,19.41,64.12,5.99,143.2
Potato___healthy,18.8,65.82,6.01,162.34
Potato___healthy,19.25,62.39,5.81,141.97
Potato___healthy,17.62,64.69,5.54,148.29
Potato___healthy,20.07,70.2,5.66,148.12
Potato___healthy,17.66,53.71,5.55,154.3
Potato___healthy,18.45,57.61,6.11,144.73
Potato___healthy,19.82,70.7,6.04,146.72
Potato___healthy,16.63,67.13,5.66,147.72
Potato___healthy,20.94,59.46,5.87,151.39
Tomato___Bacterial_spot,27.78,85.25,6.55,117.99
Tomato___Bacterial_spot,30.32,94.76,6.89,101.75
Tomato___Bacterial_spot,29.83,95.76,7.1,107.64
Tomato___Bacterial_spot,28.15,85.74,6.88,112.37
Tomato___Bacterial_spot,29.03,94.88,6.48,111.58
Tomato___Bacterial_spot,25.73,95.53,6.56,121.69
Tomato___Bacterial_spot,28.66,86.12,6.58,112.85
Tomato___Bacterial_spot,25.77,84.8,6.52,111.39
Tomato___Bacterial_spot,26.19,95.43,6.49,106.06
Tomato___Bacterial_spot,30.17,86.74,6.11,116.62
Tomato___Bacterial_spot,29.52,86.74,6.93,121.13
Tomato___Bacterial_spot,27.7,82.85,6.49,135.35
Tomato___Bacterial_spot,31.86,98.34,6.48,124.37
Tomato___Bacterial_spot,28.2,84.06,6.76,102.08
Tomato___Bacterial_spot,28.99,96.19,6.78,97.36
